town.id,gis.name,gis.join,year,cbsa,state.name,co.pre100pct,co.pub.pre100pct,co.priv.pre100pct,co.bwf.pre100pct,nn5.co.pre100pct,nn10.co.pre100pct,co.pre100,co.pub.pre100,co.priv.pre100,co.bwf.pre100,nn5.co.pre100,nn10.co.pre100,l5.co.pre100,l5.co.pub.pre100,l5.co.priv.pre100,l5.co.bwf.pre100,l5.nn5.co.pre100,l5.nn10.co.pre100,unemp.r.pre,emp.n.pre,labf.n.pre,i.units.pre,r.units.pre,ln.unempr.pre,ln.emp.n.pre,ln.labf.n.pre,ln.r.units.pre,mhhi.ia.pre,ln.mhhi.ia.pre,agricu.pre,arts.pre,ln.agricu.pre,ln.arts.pre,popcen.pre,ln.popcen.pre,for.pct,agg.pct,hiden.pct,loden.pct,other.pct,ndata.pct,urban90,suburb90,exurb90,rural90,ctydist100,ctydist30,ln.ctydist100,ln.ctydist30,ln.pop.cen90
6,Beacon Falls,G090009003250,1990,35300,Connecticut,23.53196907,21.70762062,1.824348807,0,5.844425678,8.975156784,3.19997716,3.122700691,1.038277864,0,1.923434615,2.300097704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77760.85938,11.26140594,NA,NA,NA,NA,5060.879883,8.529493332,67.64287822,5.249439442,3.410893377,17.54427259,6.115472724,0,0,0,1,0,13.4374,5.60286,2.669821978,1.887502909,8.529493332
6,Beacon Falls,G090009003250,1995,35300,Connecticut,23.53196907,21.70762062,1.824348807,0,6.265479088,9.318259239,3.19997716,3.122700691,1.038277864,0,1.98313427,2.333914995,3.19997716,3.122700691,1.038277864,0,1.923434615,2.300097704,6.5,2940.199951,3144.800049,110,110,2.014903069,7.986572742,8.053823471,4.709530354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209409687,0,0,1,0,13.4374,5.60286,2.669821978,1.887502909,8.529493332
6,Beacon Falls,G090009003250,2000,35300,Connecticut,23.72363281,21.89928436,1.824348807,0,8.284994125,10.75531483,3.207759619,3.131105661,1.038277864,0,2.228399515,2.464305401,3.19997716,3.122700691,1.038277864,0,1.98313427,2.333914995,4.880000114,2757.399902,2899,140,140,1.771556735,7.922406197,7.972465992,4.948760033,78902.09375,11.27597618,0,0.031140657,0,0.030665623,5232.990234,8.562929153,66.81588742,5.909612354,3.311512508,18.04827557,5.877668503,0,0,0,1,0,13.4374,5.60286,2.669821978,1.887502909,8.529493332
6,Beacon Falls,G090009003250,2005,35300,Connecticut,26.16556358,24.34121323,1.824348807,0,9.518411636,13.4250164,3.301950216,3.232432127,1.038277864,0,2.353127241,2.668963909,3.207759619,3.131105661,1.038277864,0,2.228399515,2.464305401,4.019999981,2966.399902,3091.199951,133,133,1.613429904,7.995441437,8.03663826,4.897840023,NA,NA,NA,NA,NA,NA,NA,NA,65.2612867,5.753442418,3.609655113,18.67295531,6.665616817,0,0,0,1,0,13.4374,5.60286,2.669821978,1.887502909,8.529493332
6,Beacon Falls,G090009003250,2010,35300,Connecticut,26.34302902,24.51867867,1.824348807,0,9.64220047,13.66507816,3.308461666,3.239410639,1.038277864,0,2.364827156,2.685469151,3.301950216,3.232432127,1.038277864,0,2.353127241,2.668963909,5.440000057,3120.600098,3301.399902,170,170,1.862528563,8.046100616,8.102404594,5.141663551,90534.48438,11.41349697,0,0.03250478,0,0.031987675,6049,8.707813263,64.01192721,5.764090368,3.921994985,19.17695829,7.087985508,0,0,0,1,0,13.4374,5.60286,2.669821978,1.887502909,8.529493332
6,Beacon Falls,G090009003250,2015,35300,Connecticut,26.34302902,24.51867867,1.824348807,0,9.64220047,13.66507816,3.308461666,3.239410639,1.038277864,0,2.364827156,2.685469151,3.308461666,3.239410639,1.038277864,0,2.364827156,2.685469151,7.460000038,3157.800049,3413,53,53,2.135349274,8.057947159,8.135640144,3.988984108,86926.92969,11.37283421,0,0.058685446,0,0.057027992,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,13.4374,5.60286,2.669821978,1.887502909,8.529493332
7,Berlin,G090003004300,1990,25540,Connecticut,20.00952911,19.09783936,0.911689758,0,6.407503605,6.757027626,3.044975996,3.000612259,0.647987545,0,2.00249362,2.048599243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87310.8125,11.37724113,NA,NA,NA,NA,16790.66992,9.728638649,44.59038298,13.77321059,4.151536177,32.74614298,4.714259908,0,0,0,1,0,18.9341,7.28234,2.992431879,2.11412549,9.728638649
7,Berlin,G090003004300,1995,25540,Connecticut,20.88387489,19.97218513,0.911689758,0,7.232711315,7.69136095,3.085750103,3.043197155,0.647987545,0,2.108115435,2.162329435,3.044975996,3.000612259,0.647987545,0,2.00249362,2.048599243,5.820000172,9054.599609,9614.400391,455,455,1.919859529,9.111138344,9.171121597,6.12249279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131345127,0,0,1,0,18.9341,7.28234,2.992431879,2.11412549,9.728638649
7,Berlin,G090003004300,2000,25540,Connecticut,21.71186447,20.64822578,1.063637972,0,8.486283302,8.933364868,3.122887373,3.074923515,0.724470437,0,2.249846935,2.295899391,3.085750103,3.043197155,0.647987545,0,2.108115435,2.162329435,4,8710.599609,9071.799805,374,374,1.609437943,9.072410583,9.113036156,5.926926136,94902.24219,11.46061325,0.006529851,0.055451907,0.006508624,0.053969022,18220.26953,9.810344696,44.37276214,13.72556579,4.306059856,32.77318463,4.797960234,0,0,0,1,0,18.9341,7.28234,2.992431879,2.11412549,9.728638649
7,Berlin,G090003004300,2005,25540,Connecticut,22.71240616,21.64876747,1.063637972,0,9.817204475,10.18192673,3.165998459,3.120105505,0.724470437,0,2.381137848,2.414298773,3.122887373,3.074923515,0.724470437,0,2.249846935,2.295899391,3.400000095,9991.200195,10343.59961,575,575,1.481604576,9.209560394,9.24421978,6.356107712,NA,NA,NA,NA,NA,NA,NA,NA,43.89245103,13.59293297,4.542996164,32.92126982,5.025882661,0,0,0,1,0,18.9341,7.28234,2.992431879,2.11412549,9.728638649
